criterion,geometry,geometry_index,beta,mode_index,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio
score_q,cubic,1.0,0.0,15,Z1,0.2392249887219174,0.0002171853317248,0.3943931162823786,3.678406307863369
score_iso,cubic,1.0,0.0,8,Z1,0.1513992143994104,0.0001127122007366,0.999999999999998,3.713972400291808
score_q,cubic,1.0,1.0,15,Y1,0.1293376790216523,0.000148560978338,0.4894893222876719,2.594479521521313
score_iso,cubic,1.0,1.0,15,Y1,0.1293376790216523,0.000148560978338,0.4894893222876719,2.594479521521313
score_q,cubic,1.0,5.0,18,X1+Y1+Z1,0.3183349765801549,0.0002772799325669,0.8289596232602975,0.6134042244691983
score_iso,cubic,1.0,5.0,11,X1+Y2+Z1,0.1050912734950517,0.000247897250028,0.9999999999999968,0.4605724989647939
score_q,tet_1.05,1.05,0.0,18,Z1,0.4149556841819931,0.0002112399709664,0.7882245212728956,3.62114798847252
score_iso,tet_1.05,1.05,0.0,18,Z1,0.4149556841819931,0.0002112399709664,0.7882245212728956,3.62114798847252
score_q,tet_1.05,1.05,1.0,18,Z1,0.1494514871027817,0.0001291038687067,0.9865219726778308,2.532314012267358
score_iso,tet_1.05,1.05,1.0,18,Z1,0.1494514871027817,0.0001291038687067,0.9865219726778308,2.532314012267358
score_q,tet_1.05,1.05,5.0,12,X1+Y1+Z1,0.2105152865047488,0.0001604165511113,0.2400023270333197,0.4829743942104248
score_iso,tet_1.05,1.05,5.0,11,X1+Y1+Z1,0.1056728422857503,0.0002529787053994,0.9165518990165188,0.4426182657176618
score_q,tet_1.10,1.1,0.0,18,Z1,0.4149556841819954,0.0002112399709664,0.8650808804899917,3.5690949708435085
score_iso,tet_1.10,1.1,0.0,18,Z1,0.4149556841819954,0.0002112399709664,0.8650808804899917,3.5690949708435085
score_q,tet_1.10,1.1,1.0,18,Z1,0.1494334792927514,0.000128531929759,0.8987738379721364,2.4756160402716367
score_iso,tet_1.10,1.1,1.0,18,Z1,0.1494334792927514,0.000128531929759,0.8987738379721364,2.4756160402716367
score_q,tet_1.10,1.1,5.0,5,X1+Y1+Z2,0.2003197389859201,0.0001786634012478,0.2665791231730521,0.3135155600422473
score_iso,tet_1.10,1.1,5.0,11,X1+Y1+Z2,0.106180056159392,0.0002577161152344,0.8432691682447705,0.4273175083726662
score_q,tet_1.20,1.2,0.0,16,Z1,0.4149556841819953,0.0002112399709664,0.9713285736957128,3.4780021899913818
score_iso,tet_1.20,1.2,0.0,16,Z1,0.4149556841819953,0.0002112399709664,0.9713285736957128,3.4780021899913818
score_q,tet_1.20,1.2,1.0,17,X1+Y1+Z2,0.1274200676669257,0.0001493491447877,0.4335122752823244,2.1892536422896107
score_iso,tet_1.20,1.2,1.0,14,Z1,0.1493930338248096,0.0001273758961992,0.7555487494197993,2.3759838677500493
score_q,tet_1.20,1.2,5.0,15,X1+Y1+Z2,0.1487198011902434,0.0001959066794585,0.5269189202660821,0.4616133135856878
score_iso,tet_1.20,1.2,5.0,11,X1+Y2+Z2,0.1070160461551332,0.0002662804450359,0.7210656243238412,0.4029031669515117
score_q,tet_1.35,1.35,0.0,14,Z1,0.4149556841819937,0.0002112399709664,0.7674694903274778,3.366666568947535
score_iso,tet_1.35,1.35,0.0,14,Z1,0.4149556841819937,0.0002112399709664,0.7674694903274778,3.366666568947535
score_q,tet_1.35,1.35,1.0,17,Z1,0.1493213143280148,0.0001256190052269,0.5982374128515359,2.253582255431337
score_iso,tet_1.35,1.35,1.0,17,Z1,0.1493213143280148,0.0001256190052269,0.5982374128515359,2.253582255431337
score_q,tet_1.35,1.35,5.0,16,X1+Y1+Z1,0.2052110613525073,0.000529240808387,0.154489379589183,0.4550888552691724
score_iso,tet_1.35,1.35,5.0,10,X1+Y2+Z2,0.1079438481978327,0.000277226831072,0.5824853442599041,0.3771629315193946
score_q,tet_1.50,1.5,0.0,12,Z1,0.4149556841819982,0.0002112399709664,0.6216502871652452,3.2775980721106164
score_iso,tet_1.50,1.5,0.0,12,Z1,0.4149556841819982,0.0002112399709664,0.6216502871652452,3.2775980721106164
score_q,tet_1.50,1.5,1.0,15,Z1,0.149236471423535,0.0001238453109382,0.4863042675339791,2.155334289504187
score_iso,tet_1.50,1.5,1.0,15,Z1,0.149236471423535,0.0001238453109382,0.4863042675339791,2.155334289504187
score_q,tet_1.50,1.5,5.0,18,X1+Y1+Z2,0.2007997564583719,0.0005179206654246,0.1342182137544479,0.3930307151106446
score_iso,tet_1.50,1.5,5.0,8,X1+Y1+Z1,0.1101711283753222,0.0001520882959331,0.9613826944573932,0.3204118743324654
score_q,ortho_1.05_1.20,1.2,0.0,17,Z1,0.4149557061182623,0.0002112399913723,0.9070294645373976,3.4190502307942623
score_iso,ortho_1.05_1.20,1.2,0.0,17,Z1,0.4149557061182623,0.0002112399913723,0.9070294645373976,3.4190502307942623
score_q,ortho_1.05_1.20,1.2,1.0,18,Z1,0.1445076520882655,0.0001259841570838,0.7555487094377437,2.3220497130998554
score_iso,ortho_1.05_1.20,1.2,1.0,18,Z1,0.1445076520882655,0.0001259841570838,0.7555487094377437,2.3220497130998554
score_q,ortho_1.05_1.20,1.2,5.0,11,X1+Y2+Z2,0.1076088163675563,0.0002717387234057,0.7210656243238466,0.3849489337032802
score_iso,ortho_1.05_1.20,1.2,5.0,11,X1+Y2+Z2,0.1076088163675563,0.0002717387234057,0.7210656243238466,0.3849489337032802
score_q,ortho_1.10_1.30,1.3,0.0,15,Z1,0.4149556841313825,0.0002112399710383,0.826446281009022,3.288379065233445
score_iso,ortho_1.10_1.30,1.3,0.0,15,Z1,0.4149556841313825,0.0002112399710383,0.826446281009022,3.288379065233445
score_q,ortho_1.10_1.30,1.3,1.0,18,Z1,0.1396887980139474,0.0001234631748164,0.6445729064377116,2.188770570051135
score_iso,ortho_1.10_1.30,1.3,1.0,18,Z1,0.1396887980139474,0.0001234631748164,0.6445729064377116,2.188770570051135
score_q,ortho_1.10_1.30,1.3,5.0,10,X1+Y2+Z2,0.1087866015711984,0.0002846472651106,0.6238332777086589,0.3513482615025562
score_iso,ortho_1.10_1.30,1.3,5.0,10,X1+Y2+Z2,0.1087866015711984,0.0002846472651106,0.6238332777086589,0.3513482615025562
score_q,ortho_1.20_1.50,1.5,0.0,14,Z1,0.4149556841820643,0.0002112399709663,0.6216502871652603,3.071266272128573
score_iso,ortho_1.20_1.50,1.5,0.0,14,Z1,0.4149556841820643,0.0002112399709663,0.6216502871652603,3.071266272128573
score_q,ortho_1.20_1.50,1.5,1.0,17,Z1,0.1303955298120188,0.0001234135737306,0.4863042675342517,1.968893650826676
score_iso,ortho_1.20_1.50,1.5,1.0,17,Z1,0.1303955298120188,0.0001234135737306,0.4863042675342517,1.968893650826676
score_q,ortho_1.20_1.50,1.5,5.0,18,X1+Y2+Z1,0.114053649104135,0.0004522373121306,0.1949387148733491,0.3353614400256289
score_iso,ortho_1.20_1.50,1.5,5.0,11,X1+Y2+Z2,0.1106006304661325,0.0003076010616981,0.4805229161310036,0.3021277529533314
